name,lat,lon,beds,operator,operator_type,osm_id,geom_type
al-rahmeh hospital,33.793633,35.87821,,,,7932090247,Point
مركز السيدة,33.910062,35.587414,,,,3707567031,Point
Al Hanan Hospital,34.443464,35.834269,,,,7824062502,Point
Eye and Ear Hospital,33.926949,35.591478,,,,4907285125,Point
Bcharreh Governmental Hospital,34.251023,36.016779,,,,1041902677,Polygon
Karantina Governmental Hospital,33.902537,35.53,,,,7865407548,Point
El Kheir Hospital,34.482505,35.940541,,,,7824042910,Point
مركز وادي خالد الصحي,34.630176,36.359184,,,,4048571547,Point
Tatari Hospital,34.010793,36.205755,,,,7875413039,Point
مستشفى بحنس,33.905149,35.656312,,,,802992023,Polygon
Saida Governmental Hospital,33.54605,35.381829,,,,837909683,Polygon
مستشفى سيدة المعونات جبيل,34.128162,35.658861,,,,3854937270,Point
,33.764025,35.482499,,,,1299180335,Polygon
مستشفى سان لويس جونية,33.993095,35.640727,,,,303946250,Polygon
Taanayel General Hospital,33.794181,35.877756,,,,7813286239,Point
الصليب الأحمر اللبناني;الصليب الاحمر الجميزة,33.894911,35.516733,,,,478650547,Polygon
الصليب الأخمر,33.833377,35.541932,,,,3068442398,Point
Cortbawi Institute and Rehabilitation Hospital,34.019701,35.64853,,,,835242180,Polygon
مركز كسروان الإستشفائي,34.010288,35.647804,,,,835053990,Polygon
Azounieh Hospital,33.772054,35.70632,,,,1043711498,Polygon
Baalbeck Governmental Hospital,33.998908,36.213705,,,,844260531,Polygon
مستشفى اللبناني الكندي,33.872122,35.535152,,,,305423504,Polygon
مستشفى شتورا,33.819237,35.858678,,,,3061157514,Point
Tannourine Governmental Hospital,34.212675,35.860786,,,,306341135,Polygon
المستشفى العسكري,33.873928,35.513117,,Lebanese Army,military,26804248,Polygon
Hospital Haykel,34.412535,35.832422,,,,995463969,Polygon
Rosary Sisters Hospital,33.895671,35.515061,,,,291591921,Point
West Bekaa Hospital,33.515975,35.7016,,,,1052513262,Polygon
Rass Beirut Pharmacy,33.896695,35.485217,,,,2214678948,Point
